course,instructor,section
CSIS 1175,Padmapriya Arasanipalai Kandhadai,001
CSIS 1175,Padmapriya Arasanipalai Kandhadai,002
CSIS 1175,Mehwish Bashir,003
CSIS 1175,Saeed Mirjalili,004
CSIS 1175,Caesar Jude Clemente,070
CSIS 1175,Gilbert Tsui,090
CSIS 1175,Gilbert Tsui,091
CSIS 1190,Raymond Yu,001
CSIS 1190,Victor Choong,002
CSIS 1190,Victor Choong,003
CSIS 1190,Anu Gupta,005
CSIS 1190,Caesar Jude Clemente,006
CSIS 1190,Caesar Jude Clemente,008
CSIS 1190,Anu Gupta,010
CSIS 1190,Raymond Yu,070
CSIS 1190,Rhyon Caldwell,090
CSIS 1280,Samuel Otim,001
CSIS 1280,Samuel Otim,002
CSIS 1280,Bambang Sarif,003
CSIS 1280,Anu Gupta,004
CSIS 1280,Bambang Sarif,070
CSIS 1280,Ivan Wong,090
CSIS 2175,Mehwish Bashir,001
CSIS 2175,Mehwish Bashir,003
CSIS 2200,Victor Choong,001
CSIS 2200,Victor Choong,002
CSIS 2200,Mahmood Al-Humaimidi,003
CSIS 2200,Mahmood Al-Humaimidi,007
CSIS 2200,Noman Saleem,009
CSIS 2200,Raymond Yu,010
CSIS 2200,Zhe Yang,011
CSIS 2200,David Wang,050
CSIS 2200,Raymond Yu,070
CSIS 2200,Rhyon Caldwell,090
CSIS 2260,Saeed Mirjalili,001
CSIS 2260,Saeed Mirjalili,002
CSIS 2260,Saeed Mirjalili,003
CSIS 2260,Michael Wufka,004
CSIS 2260,Michael Wufka,005
CSIS 2260,Michael Wufka,006
CSIS 2260,Noman Saleem,007
CSIS 2260,Noman Saleem,008
CSIS 2260,Noman Saleem,009
CSIS 2270,Zhe Yang,001
CSIS 2270,Zhe Yang,002
CSIS 2270,Zhe Yang,003
CSIS 2270,Nelson Eng,004
CSIS 2270,Nelson Eng,005
CSIS 2270,Nelson Eng,006
CSIS 2270,Mahmood Al-Humaimidi,007
CSIS 2270,Mahmood Al-Humaimidi,008
CSIS 2270,Mahmood Al-Humaimidi,009
CSIS 2270,Rupa Manabala,010
CSIS 2270,Rupa Manabala,011
CSIS 2270,Rupa Manabala,012
CSIS 2300,Saeed Mirjalili,001
CSIS 2300,Zhe Yang,070
CSIS 3155,Nelson Eng,001
CSIS 3155,Noman Saleem,002
CSIS 3155,Nelson Eng,003
CSIS 3155,Gabriel Vitus,004
CSIS 3175,Padmapriya Arasanipalai Kandhadai,001
CSIS 3175,Ivan Wong,002
CSIS 3175,Ivan Wong,070
CSIS 3270,Rupa Manabala,001
CSIS 3270,Rupa Manabala,002
CSIS 3270,Rupa Manabala,003
CSIS 3275,Rahim Virani,001
CSIS 3275,Rahim Virani,002
CSIS 3275,Caesar Jude Clemente,070
CSIS 3280,Rahim Virani,001
CSIS 3280,Rahim Virani,002
CSIS 3290,Bambang Sarif,001
CSIS 3300,Nikhil Bhardwaj,001
CSIS 3300,Nikhil Bhardwaj,002
CSIS 3360,Nikhil Bhardwaj,001
CSIS 3375,Padmapriya Arasanipalai Kandhadai,002
CSIS 3380,Samuel Otim,001
CSIS 3380,Anu Gupta,002
CSIS 3475,Michael Hrybyk,001
CSIS 3475,Mehwish Bashir,002
CSIS 3860,Bambang Sarif,001
CSIS 4050,Michael Hrybyk,001
CSIS 4175,Ivan Wong,001
CSIS 4260,Nikhil Bhardwaj,001
CSIS 4260,Samuel Otim,002
CSIS 4270,Michael Wufka,001
CSIS 4270,Michael Wufka,002
CSIS 4270,Michael Wufka,003
CSIS 4280,Stephen Chiong,001
CSIS 4495,Stephen Chiong,003
CSIS 4495,Stephen Chiong,090
